,equity
2026-05-30 14:20:00+00:00,10100.265977284762
2026-05-30 14:25:00+00:00,10099.838724070833
2026-05-30 14:30:00+00:00,10100.223333313943
2026-05-30 14:35:00+00:00,10100.223333313943
2026-05-30 14:40:00+00:00,10100.391236051983
2026-05-30 14:45:00+00:00,10100.1987376484
2026-05-30 14:50:00+00:00,10100.1987376484
2026-05-30 14:55:00+00:00,10100.308284272453
2026-05-30 15:00:00+00:00,10100.886105112513
2026-05-30 15:05:00+00:00,10101.078612947564
2026-05-30 15:10:00+00:00,10101.27086796494
2026-05-30 15:15:00+00:00,10101.050716765494
2026-05-30 15:20:00+00:00,10101.050716765494
2026-05-30 15:25:00+00:00,10100.722191698816
2026-05-30 15:30:00+00:00,10101.149464211156
2026-05-30 15:35:00+00:00,10101.149464211156
2026-05-30 15:40:00+00:00,10101.149464211156
2026-05-30 15:45:00+00:00,10101.149464211156
2026-05-30 15:50:00+00:00,10100.722715184362
2026-05-30 15:55:00+00:00,10100.91547706824
2026-05-30 16:00:00+00:00,10101.140868465698
2026-05-30 16:05:00+00:00,10100.714300016862
2026-05-30 16:10:00+00:00,10100.714300016862
2026-05-30 16:15:00+00:00,10101.29258518671
2026-05-30 16:20:00+00:00,10100.865107718017
2026-05-30 16:25:00+00:00,10100.438009827627
2026-05-30 16:30:00+00:00,10100.864728797202
2026-05-30 16:35:00+00:00,10101.291285584735
2026-05-30 16:40:00+00:00,10101.718220972967
2026-05-30 16:45:00+00:00,10101.60881213271
2026-05-30 16:50:00+00:00,10101.60881213271
2026-05-30 16:55:00+00:00,10101.801738198641
2026-05-30 17:00:00+00:00,10101.94323983386
2026-05-30 17:05:00+00:00,10102.055783764785
2026-05-30 17:10:00+00:00,10102.45568418036
2026-05-30 17:15:00+00:00,10102.599552817275
2026-05-30 17:20:00+00:00,10102.599552817275
2026-05-30 17:25:00+00:00,10102.94329557171
2026-05-30 17:30:00+00:00,10103.394874219404
2026-05-30 17:35:00+00:00,10103.588055765757
2026-05-30 17:40:00+00:00,10103.588055765757
2026-05-30 17:45:00+00:00,10103.780909135785
2026-05-30 17:50:00+00:00,10103.780909135785
2026-05-30 17:55:00+00:00,10103.780909135785
2026-05-30 18:00:00+00:00,10104.207049199435
2026-05-30 18:05:00+00:00,10104.461662995613
2026-05-30 18:10:00+00:00,10104.654496233456
2026-05-30 18:15:00+00:00,10105.107950185156
2026-05-30 18:20:00+00:00,10105.534506029402
2026-05-30 18:25:00+00:00,10105.961741140987
2026-05-30 18:30:00+00:00,10106.445171130294
2026-05-30 18:35:00+00:00,10106.743468152872
2026-05-30 18:40:00+00:00,10107.595279654613
2026-05-30 18:45:00+00:00,10107.595279654613
2026-05-30 18:50:00+00:00,10107.39609559156
2026-05-30 18:55:00+00:00,10107.283741255238
2026-05-30 19:00:00+00:00,10107.31184905507
2026-05-30 19:05:00+00:00,10107.424340004976
2026-05-30 19:10:00+00:00,10107.424340004976
2026-05-30 19:15:00+00:00,10107.850095031936
2026-05-30 19:20:00+00:00,10108.042588844448
2026-05-30 19:25:00+00:00,10108.183644420626
2026-05-30 19:30:00+00:00,10107.75713878162
2026-05-30 19:35:00+00:00,10107.975850393408
2026-05-30 19:40:00+00:00,10108.116806687514
2026-05-30 19:45:00+00:00,10108.238649946998
2026-05-30 19:50:00+00:00,10108.02047082656
2026-05-30 19:55:00+00:00,10108.02047082656
2026-05-30 20:00:00+00:00,10108.13290709431
2026-05-30 20:05:00+00:00,10108.13290709431
2026-05-30 20:10:00+00:00,10108.325186586551
2026-05-30 20:15:00+00:00,10108.751518310995
2026-05-30 20:20:00+00:00,10109.178047910924
2026-05-30 20:25:00+00:00,10109.178047910924
2026-05-30 20:30:00+00:00,10109.599790841583
2026-05-30 20:35:00+00:00,10109.86686870035
2026-05-30 20:40:00+00:00,10110.14785443878
2026-05-30 20:45:00+00:00,10110.56934476067
2026-05-30 20:50:00+00:00,10110.766075783362
2026-05-30 20:55:00+00:00,10110.766075783362
2026-05-30 21:00:00+00:00,10110.766075783362
2026-05-30 21:05:00+00:00,10110.766075783362
2026-05-30 21:10:00+00:00,10111.102951596638
2026-05-30 21:15:00+00:00,10111.102951596638
2026-05-30 21:20:00+00:00,10111.665148035427
2026-05-30 21:25:00+00:00,10112.085941424859
2026-05-30 21:30:00+00:00,10112.285351520331
2026-05-30 21:35:00+00:00,10112.285351520331
2026-05-30 21:40:00+00:00,10112.47767341747
2026-05-30 21:45:00+00:00,10112.47767341747
2026-05-30 21:50:00+00:00,10112.47767341747
2026-05-30 21:55:00+00:00,10112.47767341747
2026-05-30 22:00:00+00:00,10112.47767341747
2026-05-30 22:05:00+00:00,10112.670402170537
2026-05-30 22:10:00+00:00,10112.863024463912
2026-05-30 22:15:00+00:00,10113.290629665791
2026-05-30 22:20:00+00:00,10113.19032925292
2026-05-30 22:25:00+00:00,10113.41634758635
2026-05-30 22:30:00+00:00,10113.190298942014
2026-05-30 22:35:00+00:00,10113.190298942014
2026-05-30 22:40:00+00:00,10112.761410464536
2026-05-30 22:45:00+00:00,10113.189735810172
2026-05-30 22:50:00+00:00,10112.761210821367
2026-05-30 22:55:00+00:00,10112.871239775897
2026-05-30 23:00:00+00:00,10112.871239775897
2026-05-30 23:05:00+00:00,10112.014942465163
2026-05-30 23:10:00+00:00,10111.586103833166
2026-05-30 23:15:00+00:00,10111.157828267565
2026-05-30 23:20:00+00:00,10111.044626769264
2026-05-30 23:25:00+00:00,10111.485099199095
2026-05-30 23:30:00+00:00,10111.595330149703
2026-05-30 23:35:00+00:00,10111.402250231235
2026-05-30 23:40:00+00:00,10111.622975012946
2026-05-30 23:45:00+00:00,10111.622975012946
2026-05-30 23:50:00+00:00,10111.622975012946
2026-05-30 23:55:00+00:00,10111.723478173417
2026-05-31 00:00:00+00:00,10112.109569180602
2026-05-31 00:05:00+00:00,10111.883726420821
2026-05-31 00:10:00+00:00,10111.455438249435
2026-05-31 00:15:00+00:00,10111.455438249435
2026-05-31 00:20:00+00:00,10111.88334580078
2026-05-31 00:25:00+00:00,10111.88334580078
2026-05-31 00:30:00+00:00,10112.13421951925
2026-05-31 00:35:00+00:00,10112.562518300254
2026-05-31 00:40:00+00:00,10112.757994890506
2026-05-31 00:45:00+00:00,10112.757994890506
2026-05-31 00:50:00+00:00,10112.757994890506
2026-05-31 00:55:00+00:00,10112.757994890506
2026-05-31 01:00:00+00:00,10112.980884010707
2026-05-31 01:05:00+00:00,10113.408494196077
2026-05-31 01:10:00+00:00,10113.836122462217
2026-05-31 01:15:00+00:00,10113.948698554408
2026-05-31 01:20:00+00:00,10114.375447444643
2026-05-31 01:25:00+00:00,10114.262877879284
2026-05-31 01:30:00+00:00,10115.115682506424
2026-05-31 01:35:00+00:00,10115.115682506424
2026-05-31 01:40:00+00:00,10115.115682506424
2026-05-31 01:45:00+00:00,10115.115682506424
2026-05-31 01:50:00+00:00,10115.240781847016
2026-05-31 01:55:00+00:00,10116.095470548482
2026-05-31 02:00:00+00:00,10116.52195012144
2026-05-31 02:05:00+00:00,10116.947908940392
2026-05-31 02:10:00+00:00,10116.947908940392
2026-05-31 02:15:00+00:00,10116.947908940392
2026-05-31 02:20:00+00:00,10117.235598558515
2026-05-31 02:25:00+00:00,10117.662666333887
2026-05-31 02:30:00+00:00,10117.562332511332
2026-05-31 02:35:00+00:00,10117.989414078766
2026-05-31 02:40:00+00:00,10117.989414078766
2026-05-31 02:45:00+00:00,10118.20819915678
2026-05-31 02:50:00+00:00,10118.635127772777
2026-05-31 02:55:00+00:00,10118.635127772777
2026-05-31 03:00:00+00:00,10119.061175567631
2026-05-31 03:05:00+00:00,10119.913665978378
2026-05-31 03:10:00+00:00,10120.765869234461
2026-05-31 03:15:00+00:00,10121.191648194043
2026-05-31 03:20:00+00:00,10122.042168500613
2026-05-31 03:25:00+00:00,10122.892046096626
2026-05-31 03:30:00+00:00,10123.741638379135
2026-05-31 03:35:00+00:00,10123.741638379135
2026-05-31 03:40:00+00:00,10123.809908266776
2026-05-31 03:45:00+00:00,10123.809908266776
2026-05-31 03:50:00+00:00,10123.87844204628
2026-05-31 03:55:00+00:00,10124.070728436442
2026-05-31 04:00:00+00:00,10124.495752396493
2026-05-31 04:05:00+00:00,10124.880421687998
2026-05-31 04:10:00+00:00,10124.880421687998
2026-05-31 04:15:00+00:00,10124.880421687998
2026-05-31 04:20:00+00:00,10125.456681245294
2026-05-31 04:25:00+00:00,10126.225946710156
2026-05-31 04:30:00+00:00,10126.4182776873
2026-05-31 04:35:00+00:00,10126.746773089906
2026-05-31 04:40:00+00:00,10126.939187051014
2026-05-31 04:45:00+00:00,10127.131531574983
2026-05-31 04:50:00+00:00,10127.01943138092
